,topic,time,vender,header,body
0,日経クロステック トップ設計・生産革新3Dプリンター活用最初の一歩,2021-05-11,,溶融池に金属粉末を吹き付ける「指向性エネルギー堆積法」,今回は「指向性エネルギー堆積法」について解説する。指向性エネルギー堆積法は、金型や金属部品の補修などに適用される肉盛溶接を応用した方式といえる。粉末床溶融結合方式と同様、熱源としてはレーザーや電子ビームを使う方式が実用化されている。造形材料としては、粉末状の金属材料を使う装置が主流なため、ここでは粉末材料を使う指向性エネルギー堆積法を取り上げる。ただし、近年では材料コストが安く、造形速度も高められる点からワイヤ状の金属材料を供給する方式も広まりつつある。ワーク（加工物）に対して材料を供給する造形ヘッドの位置や向きを制御し、任意の断面形状を造形していける。指向性エネルギー堆積法の中でも、例えばレーザーと金属粉末を使うアディティブ製造装置では、ワークに対してレーザーを照射して母材を溶かし、その部分（溶融池、メルトプール）に粉末状の金属を吹き付けていく（図1）。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ これを繰り返して断面形状を積層し、立体モデルを造...
1,日経クロステック トップクルマ技術／動向上海モーターショー2021,2021-05-11,櫛谷 さえ子,上海汽車とアリババらのEV合弁会社、予約販売を開始,中国の上海汽車集団（SAIC Motor）と阿里巴巴集団（アリババグループ）らによる合弁会社、智己汽車科技（IM Motors）は、同社初の量産電気自動車（EV）モデルである「IM L7」の予約注文の受け付けを開始したと2021年4月24日、上海モーターショーで発表した。先行販売価格は40万8800元（約679万円、1元＝16.6円換算）となる。納車は2022年第1四半期の終わりごろになるもよう。IM Motorsは、SAICとアリババ、上海張江集団が2020年11月に設立した合弁企業。設立と同時にEVブランド「IM」を立ち上げ、2021年1月には人工知能（AI）を使ったインテリジェントカーとして、セダンとSUVを量産することを発表していた。今回、受注を開始したのはセダンだ。同社は、AIを搭載した車とユーザーのコラボレーションに焦点をあてたインテリジェントカーの開発を進めている。AIと人間がどのように共存すれば最高の運転体験を提供できるかをテーマにして、ユーザーが何もしなくても、その時々のニーズを感知して最適な乗車体験を提供する車を目指している。これが新しい世代の期待することだという。EV、5G通信、自動運転などの先端技術を詰め込み、実現を目指す。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 1充電走行距離は最長655km
2,日経クロステック トップ製造スキルアップ／マネジメントHANNOVER MESSE 2021: Digital Edition,2021-05-11,岩野 恵,絶好調のMicrosoft「Teams」　製造現場で活用広がる,新型コロナウイルス感染症の流行でオンライン開催となった世界最大級の産業技術の展示会「HANNOVER MESSE 2021: Digital Edition」（ハノーバーメッセ）。米Microsoft（マイクロソフト）は製造現場のデジタル化をテーマとしたトークイベントを開催した。工場などで同社の職場向けアプリ「Teams（チームズ）」の活用が加速していることを紹介した。会員の方はこちら有料会員「春割」実施中！【春割実施中】日経電子版セットで２カ月無料日経電子版セットだと日経クロステックが月々650円お得詳しくは日経クロステック有料会員お申し込みのページで。SUBARU、ボッシュ、デンソーなど登壇。次世代モビリティーを支える技術とビジネスを語る。お急ぎお申し込みください！“特等席”から未来づくりの最前線を追う仕事ですあなたの専門知識や経験を生かして、「日経クロステック」の記事や書籍の企画、取材・執筆・編集を担う編集記者（正社員）にトライしませんか。編集の経験は問いません。コミュニケーション能力が高く、企画力や実行力があり、好奇心旺盛な方を求めています。詳しい情報を見る日経BPはエンジニアや企画・営業も募集中
3,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-05-11,野澤 哲生,国内の自動運転は遠隔からのレベル2～3　運転手不足の現実解,日本国内で実証実験が進む自動運転には、遠隔管制型が多い。少子高齢化によるバスの運転手不足や免許返納問題に対する最短コースでの解決策になるとみられているからだ。ただし、海外勢との自動運転技術の開発競争という点では不安が残る。自動車の運転を自動化する動きは海外だけでなく、日本でも着実に進んでいる。ある種の方向性ではむしろ、中国や米国よりも取り組みが早いといえるかもしれない。それが、遠隔管制または遠隔監視によるレベル2～3の自動運転バスやタクシーを実現する動きである（表1）。実証実験の数自体、非常に多いが、中でも遠隔型の自動運転システムを採用した例が目立つ結果となっている。よく知られているように、自動運転のレベルにはレベル1～5の5段階がある（図1）。ただし、このレベルが高いほど技術的に高度というわけでは必ずしもない。2つの評価軸で決まるやや複雑な規定となっているからだ。評価軸の1つは、「ODD（運行設計領域）」と呼ばれるもので、ざっくり言い換えれば、緊急事態を考慮しない、机上で考えた走行可能条件やルートの広さである。もう1つは、「動的運転タスク」と呼ばれる、運転中のとっさの判断を求められる状況の想定の広さ、あるいは危険回避の想定の広さだ。後者の評価軸は“人間的な判断”との距離だともいえる。レベル2からレベル3への移行は、この人間的判断をシステムに任せるかどうか、にポイントがある。運転操作の多くをシステムが担当しても、とっさの状況判断とその対応を人間の“運転手”がする場合はレベル2。一定の範囲内とはいえ、状況判断と対応をシステムがする場合はレベル3というわけだ注1）。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ “運転手”が遠隔地にいてもOK
4,日経クロステック トップ設計・生産革新トヨタ流人づくり［実践編］（ものづくり）,2021-05-10,肌附安明,脱炭素時代に役立つ、トヨタがマスキー法を乗り越えられた理由,世間のカーボンニュートラル（温暖化ガスの排出量実質ゼロ）の流れを受けて、当社では環境技術が重点開発領域に設定されました。これにより、10年先をにらんで開発していた技術の実用化時期の目標が5年ほど前倒しになりました。社内の注目度が高まったのはよいのですが、開発の難易度は変わりません。どうすれば開発をスピードアップできるか参考になる話があれば教えてください。編集部：脱炭素関連の取材をしていると、2020年10月の菅義偉首相による2050年カーボンニュートラル宣言のインパクトの大きさが分かります。どの企業も異口同音に、次世代環境技術の開発のスピードアップが求められており、実用化目標が前倒しになったと言います。中には、これまでは将来を見据えた研究の扱いだったのに、急に注目され、早く事業化せよと周囲から迫られて戸惑っている技術者もいるようです。「そんなに簡単に実用化できるなら苦労しないよ」と。肌附氏—ますます、かつての米国の1970年大気清浄法、通称「マスキー法」をほうふつとさせますね。何度も言いますが、今のカーボンニュートラルが求める厳しい二酸化炭素排出量の抑制が企業に与える試練は、1970年代にマスキー法が定めた厳しい排出ガス規制が世界の自動車メーカーに与えたそれと酷似していると感じます。トヨタ自動車で生産技術者として働いていた当時の苦しかった状況は、今でも忘れられません。編集部：改めて、マスキー法は自動車の排出ガスに含まれる有害ガス（一酸化炭素と炭化水素、窒素酸化物）の排出量を1970～1971年型の車種に対して1/10以下に抑えなければ、1970年代半ば以降に生産する自動車の販売を認めないという厳しい法律でしたね。米国の3大自動車メーカーもそろって不可能だと反発したと聞きます。当時の米国の自動車メーカーの技術力は日本の自動車メーカーよりもはるかに上だったはず。であれば、当然ながら日本の技術者も無理だと思ったのではないでしょうか。肌附氏—1年前の2020年の春ごろを思い出してください。新型コロナウイルス感染症が世界的にまん延し、その影響でほとんどの日本企業が2021年度の業績予想を見送るほど先の見通せない状況にありました。そうした中で、人々はワクチンに希望を見いだしていましたが、テレビの報道番組などで多くの医療関係者が「簡単にはできない。どんなに頑張っても3年以上かかる」と言っていたのを覚えていませんか。私も知り合いの医師に早くワクチンができないのかと聞いたことがあるのですが、「そんなに簡単なものではないんですよ」と言われました。しかし、その後どうなったでしょう。1年もたたないうちに海外でワクチンは完成し、2021年4月半ば時点で、既に米国では6000万人を超える国民がワクチン接種を済ませているではありませんか。専門家の予想がいつも当たるとは限りません。私はトヨタ自動車の技術者としてマスキー法を乗り越えた経験から、「本気を出せば、どんなに難しい技術だって開発できるんだ」という信念を持っています。編集部：最初からマスキー法をクリアできると思っていたのですか。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 複数の技術開発を並行して進める
5,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-05-10,野澤 哲生,どっこい生きてたV2X　レベル4以上の自動運転では必須に,カメラ、LiDAR、ミリ波レーダーという自動運転の“3種の神器”を、車両にとっての死角をなくす道路側センサーとして交差点の信号機や街灯などに装着する動きが出てきた。潜在的な市場は国内において数十万基以上で、移動通信サービスの基地局数に匹敵する。日本国内における無線規格としては、5Gよりもむしろ760MHz帯のシステムに脚光が当たっている。道路側（路側）にカメラやLiDAR、ミリ波レーダーなどを設置して、運転支援や自動運転を補助するアイデアは「V2X（Vehicle to everything）」と呼ばれ、決して新しくない。ところが、この数年は実証実験や開発の勢いが鈍っていた。理由は大きく3点。（1）以前の実証実験で4G（LTE）回線を使ったV2X（Cellular-V2X：C-V2X）には遅延など技術的な課題が大きいことが知られるようになった、（2）各国・地域の電波周波数の割り当ての足並みが揃っていない、（3）道路インフラに頼りたくない自動車メーカーが開発に必ずしも積極的ではなかった、ことなどだ。このうち、（1）のLTEベースのC-V2Xについては、過去の実証実験で「基地局を介した通信では1秒以上の遅延があることも多い」（ある無線通信関係者）と、否定的な印象が広がったようだ。一方で、最近の実証実験では、LTEでも端末間通信が500m秒（0.5秒）以下の遅延で済んだという報告もあり、意見は分かれている。ただ、以前は交通システム関係者にあった、DSRC†（Dedicated Short Range Communications）と呼ばれる次世代ITS（高度道路交通システム）の路車間通信（V2I†）向け仕様から、C-V2XまたはC-V2Iに移行するのが当然という雰囲気が、やや希薄になっているのは否めないようだ。これは（2）の電波周波数割り当ての混乱とも関係している。C-V2Xでは、V2IやV2V†（Vehicle to Vehicle）などの用途で「D2D」あるいは「sidelink」と呼ばれる基地局を介しない通信モードを利用できる。ただし、これには、一般のLTEや5Gとは異なる専用の周波数帯が必要だ。この候補が、これまでDSRCに割り当てられてきた5.8G～5.9GHz帯である。いち早く、5.9GHz帯をC-V2Xに割り当てたのは中国だ（図1）。これに2020年11月、米国が続いた。ただし、DSRCを丸ごとC-V2Xに鞍替えさせるのではなく、75MHz分あった帯域の30MHz分だけをC-V2X用にした。一方、欧州ではドイツAudiや同Volkswagenなどの自動車メーカーがDSRCに投資してきた経緯があり、C-V2X推進グループとの数年に渡る激しい議論や対立を経てなお、現在も軸足をDSRCに置いている。ただし、さすがに最近はC-V2X推進側の要望を無視することができなくなり、2021年半ばに双方の共用条件の検討を始め、2022年半ばにC-V2Xの利用を条件付きで認める見通しだ。日本はというと、これまでDSRC用に5.8GHz帯という海外とは異なる周波数帯を割り当てていた。総務省は現在、これを見直し中で、2022年度にDSRCの割り当てを圧縮すると同時に、5.9GHz帯に5GのC-V2X向け帯域を設ける可能性がある注1）。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 実はトヨタの20万台に搭載済み
6,日経クロステック トップ設計・生産革新HANNOVER MESSE 2021: Digital Edition,2021-05-06,斉藤 壮司,豊田自動織機のダイカスト工程にAI技術、独シーメンスが導入,独Siemensと豊田自動織機は2021年4月12日、アルミダイカスト製品の不良を予測するAI（人工知能）技術を開発したと発表した。会員の方はこちら有料会員「春割」実施中！【春割実施中】日経電子版セットで２カ月無料日経電子版セットだと日経クロステックが月々650円お得詳しくは日経クロステック有料会員お申し込みのページで。SUBARU、ボッシュ、デンソーなど登壇。次世代モビリティーを支える技術とビジネスを語る。お急ぎお申し込みください！“特等席”から未来づくりの最前線を追う仕事ですあなたの専門知識や経験を生かして、「日経クロステック」の記事や書籍の企画、取材・執筆・編集を担う編集記者（正社員）にトライしませんか。編集の経験は問いません。コミュニケーション能力が高く、企画力や実行力があり、好奇心旺盛な方を求めています。詳しい情報を見る日経BPはエンジニアや企画・営業も募集中
7,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-04-28,野澤 哲生,自動運転に必須の地図データ　自動作成技術で格安に,これまで高額な費用がかかり、更新も数カ月ごとがやっとだった自動運転用高精度（HD）マップにも破壊的技術がやってきた。1000万台超の一般ドライバーが自動収集するデータを基に、超低コストかつ分単位での地図更新が可能になってきた。自動運転にとって位置情報はセンサー以上に必要不可欠な情報だ。その情報の取得環境がここへきて急速に整ってきた。地図情報でも以前は非現実的だった、分単位での更新が実現しそうだ。GNSS衛星を利用した測位は誤差数cmでのデータが利用可能になっている。たとえGNSS衛星が見えない環境でも、比較的低コストで一定時間は自己位置が分かるようにもなってきた。自動運転技術の破壊的技術革新は、高精細（HD）マップと呼ばれる自動運転に必須の地図作りにも及んできた。自律型と呼ばれる、道路のインフラに頼らない自動運転車は、HDマップがなければ道路を1cmとて走れない。自分がどこにいるのか分からなくなるからだ。HDマップと後述するGNSSやIMUの位置情報と姿勢情報があって初めて周りの世界が分かるようになる。HDマップの大きな課題は、作成コストが正攻法では非常に高いことだ。まず、地図データ計測システム「MMS（Mobile Mapping System）を搭載したクルマの価格が本誌推定で約1億円。加えて、そのMMS搭載車で全国を走行するための人件費や、測定したデータの処理コストなどが、測定する道路の延べ長さに比例して膨大にかさんでいく。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 共通のインフラとして作成
8,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-04-27,野澤 哲生,カメラとLiDARは融合へ　AIとも連携し人の目を超える,カメラ単体の技術の進化はほぼ終了。これからは他のセンサーとの一体化やAIを含む機能の深いレベルでの連携が始まりそうだ。カメラは、自動運転の“3種の神器“の中でも最も重要なセンサーといえる。カメラがあればLiDARは不要というのはTeslaだけではない。三菱電機なども当面、カメラとミリ波レーダーだけでよい、という立場だ。ただし、センサー単体としてのカメラにこれ以上の技術革新はあまり期待されていない。解像度だけでいえば、「800万画素（8MP）で十分」（Mobileye）で、40MPやそれ以上の高精細イメージセンサーの搭載が進むスマートフォンのほうが先を行っている。最近の自動運転用カメラに求められているのは、LiDARとの一体化、それも人工知能（AI）を介して連携動作をする方向性だ（図20）。京セラもカメラとLiDARを一体化させた製品を開発中だ。同社によれば、一体化とは単に1つの筐体に同梱することではなく、光軸を共有させ、両センサーの視差の違いを高い精度でなくすことだという。単に横に並べて視界を信号処理で一致させるだけでは、環境の変化によるレンズのひずみなどですぐに大きなズレが生じてしまうからだ。最近のLiDARは角度分解能が0.1°という例も少なくないため、「0.1°以下の精度で視野を一致させることが重要」（京セラ）とする。一体化させた先にあるのが、カメラとLiDARのAIを介した連携動作だ。前述のSteraVisionはそれをLiDAR単独で実現したが、カメラとLiDARの一体化製品ではその流れが鮮明になっている。例えば、カメラで交通信号や歩行者などを発見した場合、LiDARにそこ（Region of Interest：ROI）を重点的に走査するようにしたほうが安全性を高められる。AEyeはそれを「アクティブサーチ」、京セラは「スキャンコントロール」と呼ぶ。「LiDARで道路の先に何か見つけたら、それが何かをカメラで見に行く」（京セラ）こともでき、他社製品のLiDARより遠方の障害物の検知性能が高いとする注12）。京セラはこうした機能を近い将来、利用可能にする計画だという。先に紹介したAEyeがMEMSミラーを極端に小さくした理由の1つは、ミラーの制御性を高めてROIに走査点を集中させることにあったわけだ。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ カメラのレンズの汚れは自動で除去へ
9,日経クロステック トップ設計・生産革新基礎をもう一度見直す　設計生産技術キーワード選,2021-04-27,西村 仁,焼入れ・焼戻し●冷やし方次第で変わる金属の性質,【やきいれ・やきもどし】金属材料に熱を加えてから冷やす熱処理の一種。硬さと粘り強さを両立させるため、高温状態から一気に急冷する処理である。熱処理に詳しくなくても、焼入れ・焼戻しという言葉に聞き覚えのある人はいるだろう。日本刀の製作風景を思い出して欲しい。赤く熱した日本刀を、水の中に差し込んで一気に冷やす。この工程がまさに、焼入れ・焼戻しにあたる。熱処理には様々な手法があり、その対象となる材料も多岐にわたる。そのため細かな違いについてはうろ覚えだったり、意味を取り違えていたりしているケースをよく見かける。ここでは金属材料かつ部品全体に熱処理を施す場合に絞って、［1］焼入れ・焼戻し、［2］焼なまし、［3］焼ならしの3手法を取り上げる。これらの違いをひと言でいえば「冷却速度」が異なる（図）。［1］～［3］とも、「加熱」「保温」「冷却」というプロセスを経るのが基本となる。ただし、加熱速度や冷却速度、加熱温度などの条件が異なる。前述のように、特に異なるのが冷却速度だ。［1］焼入れ・焼戻しは「急冷」＊1、［2］焼なましは「炉冷」＊2、［3］焼ならしは「空冷」させる。急冷・空冷・炉冷の順番に、冷却時間が短い。以下では、3つの熱処理についてもう少し詳しく説明していこう。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 硬く粘り強くする焼入れ・焼戻し
