,topic,time,vender,header,body
0,日経クロステック トップクルマ技術／動向上海モーターショー2021,2021-05-11,櫛谷 さえ子,上海汽車とアリババらのEV合弁会社、予約販売を開始,中国の上海汽車集団（SAIC Motor）と阿里巴巴集団（アリババグループ）らによる合弁会社、智己汽車科技（IM Motors）は、同社初の量産電気自動車（EV）モデルである「IM L7」の予約注文の受け付けを開始したと2021年4月24日、上海モーターショーで発表した。先行販売価格は40万8800元（約679万円、1元＝16.6円換算）となる。納車は2022年第1四半期の終わりごろになるもよう。IM Motorsは、SAICとアリババ、上海張江集団が2020年11月に設立した合弁企業。設立と同時にEVブランド「IM」を立ち上げ、2021年1月には人工知能（AI）を使ったインテリジェントカーとして、セダンとSUVを量産することを発表していた。今回、受注を開始したのはセダンだ。同社は、AIを搭載した車とユーザーのコラボレーションに焦点をあてたインテリジェントカーの開発を進めている。AIと人間がどのように共存すれば最高の運転体験を提供できるかをテーマにして、ユーザーが何もしなくても、その時々のニーズを感知して最適な乗車体験を提供する車を目指している。これが新しい世代の期待することだという。EV、5G通信、自動運転などの先端技術を詰め込み、実現を目指す。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 1充電走行距離は最長655km
1,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-05-11,野澤 哲生,国内の自動運転は遠隔からのレベル2～3　運転手不足の現実解,日本国内で実証実験が進む自動運転には、遠隔管制型が多い。少子高齢化によるバスの運転手不足や免許返納問題に対する最短コースでの解決策になるとみられているからだ。ただし、海外勢との自動運転技術の開発競争という点では不安が残る。自動車の運転を自動化する動きは海外だけでなく、日本でも着実に進んでいる。ある種の方向性ではむしろ、中国や米国よりも取り組みが早いといえるかもしれない。それが、遠隔管制または遠隔監視によるレベル2～3の自動運転バスやタクシーを実現する動きである（表1）。実証実験の数自体、非常に多いが、中でも遠隔型の自動運転システムを採用した例が目立つ結果となっている。よく知られているように、自動運転のレベルにはレベル1～5の5段階がある（図1）。ただし、このレベルが高いほど技術的に高度というわけでは必ずしもない。2つの評価軸で決まるやや複雑な規定となっているからだ。評価軸の1つは、「ODD（運行設計領域）」と呼ばれるもので、ざっくり言い換えれば、緊急事態を考慮しない、机上で考えた走行可能条件やルートの広さである。もう1つは、「動的運転タスク」と呼ばれる、運転中のとっさの判断を求められる状況の想定の広さ、あるいは危険回避の想定の広さだ。後者の評価軸は“人間的な判断”との距離だともいえる。レベル2からレベル3への移行は、この人間的判断をシステムに任せるかどうか、にポイントがある。運転操作の多くをシステムが担当しても、とっさの状況判断とその対応を人間の“運転手”がする場合はレベル2。一定の範囲内とはいえ、状況判断と対応をシステムがする場合はレベル3というわけだ注1）。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ “運転手”が遠隔地にいてもOK
2,日経クロステック トップエレクトロニクス機器／技術imecレポート,2021-05-10,,Siマイクロ流体が感染症の精密診断に威力、超高速PCRが可能に,新型コロナウイルス禍で、我々が1つ学んだことがあるとすれば、それは感染症の迅速な診断分析がいかに重要であるかということである。迅速な診断が可能になれば、感染症の広がりを抑制し、タイムリーな治療を実施できるからだ。感染症の診断分析においては、PCR（ポリメラーゼ連鎖反応）を使った分子診断またはDNAベースの検出が絶対的基準になっている。このとき、高感度の検出ができることが重要である。微量のサンプルで病原体が検知できれば、感染を迅速に追跡できるからだ。だが、残念なことに、DNAを抽出し、増幅する現在のシーケンシング過程では、試薬の追加と洗浄に複雑な工程があり、時間がかかる。そこで注目されるのが、装置を小型にし、検査を迅速化できるマイクロ流体だ。マイクロ流体は微小電極チップにより、一滴の血液や、さらにそれよりもごく微量な液体を分析できる。加えて、「チップ上の研究所」と呼ばれるように、単一チップ上だけで多様な実験の工程を可能にする。研究所のワークフローを、マイクロ流体技術を使って最小限にすることで、数時間を必要としていたハイスループットな診断テストの工程が、わずか数分に短縮できる。これまでもマイクロ流体構造を開発する場合、従来シリコン（Si）がその素材として選ばれてきた。安定供給ができて信頼性があるなど、他の素材と比べて多くの利点があるためだ。Siの優れた特性と、高度に進んだSi産業により、微小共振器やマイクロチャネル、バルブやポンプなどの複雑な機能をより精巧にできる。現時点においてもSiは、マイクロ流体コンポーネントの寸法を縮小し、それらを電気的機能およびセンシング手法と組み合わせるための最良の選択肢である。マイクロ流体R&DチームリーダーのChengxun Liu氏に、imecのSiマイクロ流体プログラムが、サンプル分離からシ―ケンシングまでのDNAベースの試験過程をいかに迅速化するかについて語ってもらった。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 成果1：DNAの抽出と液体からの検出
3,日経クロステック トップエレクトロニクス機器／技術インタビュー,2021-05-07,近岡 裕,脱炭素技術の開発に生かせ、トヨタがマスキー法を乗り越えた背景,カーボンニュートラル（温暖化ガスの排出量実質ゼロ）の実現には、革新的な環境技術の開発が不可欠。この難題に日本企業はいかに挑むか。元トヨタ自動車のHY人財育成研究所所長の肌附安明氏が参考になると言うのが、かつて自動車に課せられた厳しい排出ガス規制「マスキー法」を乗り越えたトヨタ自動車の事例。全社を挙げた開発支援の仕組みが、現在の脱炭素時代にも必要だ。脱炭素関連の取材をしていると、2020年10月の菅義偉首相による2050年カーボンニュートラル宣言のインパクトの大きさが分かります。どの企業も異口同音に、次世代環境技術の開発のスピードアップが求められており、実用化目標が前倒しになったと言います。中には、これまでは将来を見据えた研究の扱いだったのに、急に注目され、早く事業化せよと周囲から迫られて戸惑っている技術者もいるようです。「そんなに簡単に実用化できるなら苦労しないよ」と。ますます、かつての米国の1970年大気清浄法、通称「マスキー法」をほうふつとさせますね。何度も言いますが、今のカーボンニュートラルが求める厳しい二酸化炭素排出量の抑制が企業に与える試練は、1970年代にマスキー法が定めた厳しい排出ガス規制が世界の自動車メーカーに与えたそれと酷似していると感じます。トヨタ自動車で生産技術者として働いていた当時の苦しかった状況は、今でも忘れられません。改めて、マスキー法は自動車の排出ガスに含まれる有害ガス（一酸化炭素と炭化水素、窒素酸化物）の排出量を1970～71年型の車種に対して1／10以下に抑えなければ、1970年代半ば以降に生産する自動車の販売を認めないという厳しい法律でしたね。米国の3大自動車メーカーもそろって不可能だと反発したと聞きます。当時の米国の自動車メーカーの技術力は日本の自動車メーカーよりもはるかに上だったはず。であれば、当然ながら日本の技術者も無理だと思ったのではないでしょうか。1年前の2020年の春ごろを思い出してください。新型コロナウイルス感染症が世界的にまん延し、その影響でほとんどの日本企業が2021年度の業績予想を見送るほど先の見通せない状況にありました。そうした中で、人々はワクチンに希望を見いだしていましたが、テレビの報道番組などで多くの医療関係者が「簡単にはできない。どんなに頑張っても3年以上かかる」と言っていたのを覚えていませんか。私も知り合いの医師に早くワクチンができないのかと聞いたことがあるのですが、「そんなに簡単なものではないんですよ」と言われました。しかし、その後どうなったでしょう。1年もたたないうちに海外でワクチンは完成し、2021年4月半ば時点で、既に米国では6000万人を超える国民がワクチン接種を済ませているではありませんか。専門家の予想がいつも当たるとは限りません。私はトヨタ自動車の技術者としてマスキー法を乗り越えた経験から、「本気を出せば、どんなに難しい技術だって開発できるんだ」という信念を持っています。最初からマスキー法をクリアできると思っていたのですか。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ CVCCエンジンも触媒方式も並行開発
4,日経クロステック トップ設計・生産革新HANNOVER MESSE 2021: Digital Edition,2021-05-06,斉藤 壮司,豊田自動織機のダイカスト工程にAI技術、独シーメンスが導入,独Siemensと豊田自動織機は2021年4月12日、アルミダイカスト製品の不良を予測するAI（人工知能）技術を開発したと発表した。会員の方はこちら有料会員「春割」実施中！【春割実施中】日経電子版セットで２カ月無料日経電子版セットだと日経クロステックが月々650円お得詳しくは日経クロステック有料会員お申し込みのページで。SUBARU、ボッシュ、デンソーなど登壇。次世代モビリティーを支える技術とビジネスを語る。お急ぎお申し込みください！“特等席”から未来づくりの最前線を追う仕事ですあなたの専門知識や経験を生かして、「日経クロステック」の記事や書籍の企画、取材・執筆・編集を担う編集記者（正社員）にトライしませんか。編集の経験は問いません。コミュニケーション能力が高く、企画力や実行力があり、好奇心旺盛な方を求めています。詳しい情報を見る日経BPはエンジニアや企画・営業も募集中
5,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-04-28,野澤 哲生,テスラやNVIDIAに省電力性能で大差　ルネサスの自動運転AIチップ,車載向けAIチップの開発では日本企業の健闘が目立つ。ルネサスは省電力化技術で競合他社を圧倒、デンソー小会社のNSITEXEは革新的アーキテクチャーの実用化に挑戦する。自動運転技術の要となるのが、多数のセンサーからの情報を処理して車両の制御の判断につなげるAIプロセッサーである。このAIプロセッサーの開発で、国内のチップメーカーが国際舞台で目立つ動きを見せている。ルネサス エレクトロニクス、デンソー小会社のNSITEXE、そしてソシオネクストだ。自動運転車が国内のチップメーカーの反攻のきっかけになる可能性が出てきた。最近の自動運転用AIプロセッサーは演算性能に対する要求がうなぎ上りに高まっている。1年ほど前までは演算性能が100TOPSもあれば十分とみられていたが、最近では1000TOPS分のプロセッサーを実装した車両も発表された。その一方、単位消費電力に対する演算性能（省電力性能）は1T～2TOPS/Wの壁をなかなか越えられず、AIチップの消費電力が数百～1kWを超えてくる懸念が出てきていた（図33）。これでは、EVの電池容量の相当量をAIに費やしてしまい、航続距離に大きく影響しかねない。この省電力性能の壁を、量産を見越した製品として初めて大きく破ったのがルネサス エレクトロニクスだ。2021年2月に開かれた半導体回路の国際学会「2021 IEEE International Solid-State Circuits Conference（ISSCC 2021）」で13.8TOPS/Wという高い省電力性能のAIプロセッサーを発表した。少なくとも省電力性能で米NVIDIAやTeslaのチップに大きく差をつけた格好になる。実際の演算性能は60TOPSとやや小粒だが、複数枚を使うこともできる点で、使い勝手がよいともいえる。消費電力は約4Wで、25Wという空冷か水冷かという境となる消費電力を大きく下回った。空冷であれば、走行中に自然に取り入れられる空気を通せば済む。ところが、水冷が必要となると、車両ではそのための仕組みがやや大掛かりになる上に、水冷システムの駆動自体にも電力を費やしてしまう。画期的な省電力性能は、意外なほど基本に忠実な設計で実現した。具体的には、AI処理のコア回路であるCNN†回路に近い場所にCNN専用のオンチップメモリーを配置したことだ（図34）。加えて、映像データを扱うビジョンプロセッサー回路でも同様にすぐ近くにメモリーを配置した。これで、データの移動、特にチップ外への移動が減り、大幅な低消費電力化につながったという。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 斬新なアーキテクチャーで勝負
6,日経クロステック トップクルマ技術／動向逆風の軽量化素材,2021-04-28,清水 直茂,逆風ホットスタンプ　トヨタ系と最大手のCO2対策、2GPa級へ,自動車の生産から廃棄までライフサイクル全体で二酸化炭素（CO2）排出量を評価するLCA（Life Cycle Assessment）。加工時の排出量が多く、逆風となるのが近年採用が増えていたホットスタンプ（熱間プレス）である。トヨタ自動車系プレスメーカーのフタバ産業や世界最大手のスペインGestamp Automocion（ゲスタンプ・オートモシオン）は、設計や成形工程に工夫を凝らし、冷間プレスに劣らぬCO2排出量を目指す。「熱間プレスのラインを増やす考えはない」――。これまで熱間プレスを積極的に導入してきたフタバ産業。世界で6本のラインを導入してきたが、今後の投資には慎重な姿勢を示す。熱間プレスの需要が当面、頭打ちと見込むからだ。背景には、通常のプレス加工である冷間プレスに比べて、熱間プレスの製造時CO2排出量が大きいことがある。LCAに対する注目が高まる中、熱間プレス材の不透明感が強まる。熱間プレスは鋼板の引っ張り強さを大きくできる一方、熱するのにエネルギーを多く使用する。例えば590MPaの鋼板を900～950度の炉で加熱し、冷やした金型で成形時に急冷することで1.5GPaにする。プレスの専門家は、エネルギー使用量が冷間プレスに比べて数割大きくなるとの見方を示す。加えて、冷間プレスの性能向上が進んできたこともある。熱間プレス材と同等水準の1.5GPa級超高張力鋼板（超ハイテン）の量産が始まった。熱間プレス材の牙城を冷間プレス材が切り崩し始めた。日産自動車が2020年12月に発売した小型車「ノート」で、ユニプレス製の1.5GPa級冷間プレス材を採用した。フタバ産業も1.5GPa級の準備を進めており、近い将来に量産を始める計画だ（図1）。その先には熱間プレス超えの1.8GPa級まで見据える。LCA対応と冷間プレス材の性能向上を受けて、トヨタ幹部は今後のプレス材について「コストとCO2排出量を抑えやすい冷間プレス材をうまく活用したい」との考えを示す。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 熱間プレスは消えるのか
7,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-04-28,野澤 哲生,自動運転に必須の地図データ　自動作成技術で格安に,これまで高額な費用がかかり、更新も数カ月ごとがやっとだった自動運転用高精度（HD）マップにも破壊的技術がやってきた。1000万台超の一般ドライバーが自動収集するデータを基に、超低コストかつ分単位での地図更新が可能になってきた。自動運転にとって位置情報はセンサー以上に必要不可欠な情報だ。その情報の取得環境がここへきて急速に整ってきた。地図情報でも以前は非現実的だった、分単位での更新が実現しそうだ。GNSS衛星を利用した測位は誤差数cmでのデータが利用可能になっている。たとえGNSS衛星が見えない環境でも、比較的低コストで一定時間は自己位置が分かるようにもなってきた。自動運転技術の破壊的技術革新は、高精細（HD）マップと呼ばれる自動運転に必須の地図作りにも及んできた。自律型と呼ばれる、道路のインフラに頼らない自動運転車は、HDマップがなければ道路を1cmとて走れない。自分がどこにいるのか分からなくなるからだ。HDマップと後述するGNSSやIMUの位置情報と姿勢情報があって初めて周りの世界が分かるようになる。HDマップの大きな課題は、作成コストが正攻法では非常に高いことだ。まず、地図データ計測システム「MMS（Mobile Mapping System）を搭載したクルマの価格が本誌推定で約1億円。加えて、そのMMS搭載車で全国を走行するための人件費や、測定したデータの処理コストなどが、測定する道路の延べ長さに比例して膨大にかさんでいく。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ 共通のインフラとして作成
8,日経クロステック トップエレクトロニクス機器／技術沸騰、自動運転エレクトロニクス,2021-04-27,野澤 哲生,カメラとLiDARは融合へ　AIとも連携し人の目を超える,カメラ単体の技術の進化はほぼ終了。これからは他のセンサーとの一体化やAIを含む機能の深いレベルでの連携が始まりそうだ。カメラは、自動運転の“3種の神器“の中でも最も重要なセンサーといえる。カメラがあればLiDARは不要というのはTeslaだけではない。三菱電機なども当面、カメラとミリ波レーダーだけでよい、という立場だ。ただし、センサー単体としてのカメラにこれ以上の技術革新はあまり期待されていない。解像度だけでいえば、「800万画素（8MP）で十分」（Mobileye）で、40MPやそれ以上の高精細イメージセンサーの搭載が進むスマートフォンのほうが先を行っている。最近の自動運転用カメラに求められているのは、LiDARとの一体化、それも人工知能（AI）を介して連携動作をする方向性だ（図20）。京セラもカメラとLiDARを一体化させた製品を開発中だ。同社によれば、一体化とは単に1つの筐体に同梱することではなく、光軸を共有させ、両センサーの視差の違いを高い精度でなくすことだという。単に横に並べて視界を信号処理で一致させるだけでは、環境の変化によるレンズのひずみなどですぐに大きなズレが生じてしまうからだ。最近のLiDARは角度分解能が0.1°という例も少なくないため、「0.1°以下の精度で視野を一致させることが重要」（京セラ）とする。一体化させた先にあるのが、カメラとLiDARのAIを介した連携動作だ。前述のSteraVisionはそれをLiDAR単独で実現したが、カメラとLiDARの一体化製品ではその流れが鮮明になっている。例えば、カメラで交通信号や歩行者などを発見した場合、LiDARにそこ（Region of Interest：ROI）を重点的に走査するようにしたほうが安全性を高められる。AEyeはそれを「アクティブサーチ」、京セラは「スキャンコントロール」と呼ぶ。「LiDARで道路の先に何か見つけたら、それが何かをカメラで見に行く」（京セラ）こともでき、他社製品のLiDARより遠方の障害物の検知性能が高いとする注12）。京セラはこうした機能を近い将来、利用可能にする計画だという。先に紹介したAEyeがMEMSミラーを極端に小さくした理由の1つは、ミラーの制御性を高めてROIに走査点を集中させることにあったわけだ。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ カメラのレンズの汚れは自動で除去へ
9,日経クロステック トップクルマ技術／動向逆風の軽量化素材,2021-04-27,清水 直茂,逆風アルミ　日産やトヨタ、いよいよ高品質板材に再生品,自動車の軽量化素材として代表格のアルミニウム（Al）合金――。生産から廃棄までのライフサイクル全体で二酸化炭素（CO2）排出量を評価するLCA（Life Cycle Assessment）で、鉄鋼に比べると5倍近くになり不利だ。鍵を握るのがリサイクル品で、その排出量は鉄鋼を下回るとされる。日産自動車やトヨタ自動車がアルミメーカーと協業し、これまで進んでいなかった高品質な自動車用外板のリサイクルに取り組み始めた。Al合金の製造時CO2排出量は、自動車でよく使われる5000系と6000系の板材で約11kg（日本アルミニウム協会調べ）と大きい（表）。鉄鋼が約2.3kgとされるため、5倍に上る。排出量が多いのは、ボーキサイトを電気分解して新地金にする際に、大量の電力を消費するためである。日本に輸入される新地金の製造時CO2排出量は9.24kgと、大半を占める。来るべきLCAによるCO2排出量規制に備えるにはAl新地金の使用量を抑制し、再生地金（リサイクルした地金）を増やすことが重要になる。再生地金の製造時CO2排出量は0.309kgと新地金の9割超減で、鉄鋼を下回る水準だ。日産など自動車メーカー各社が、Al合金のクローズドループリサイクル†などに取り組み始めた。いずれリサイクルの仕組みがない自動車メーカーはAl合金を使えなくなる可能性に備える。この記事は有料会員限定です。次ページでログインまたはお申し込みください。次ページ なぜアルミ外板のリサイクルが難しいのか
